Date,Forecast
2023-12-29,148.71375
2024-01-02,149.33458
2024-01-03,149.58408
2024-01-04,149.45435
2024-01-05,148.98402
2024-01-08,148.28
2024-01-09,147.52914
2024-01-10,146.76234
2024-01-11,145.9763
2024-01-12,145.28247
2024-01-16,144.6594
2024-01-17,144.19756
2024-01-18,143.85602
2024-01-19,143.85233
2024-01-22,144.35378
2024-01-23,145.21306
2024-01-24,146.2497
2024-01-25,147.60983
2024-01-26,149.09563
2024-01-29,150.41284
2024-01-30,151.6047
2024-01-31,152.58173
2024-02-01,153.29999
2024-02-02,153.89786
2024-02-05,154.43303
2024-02-06,155.00804
2024-02-07,155.51314
2024-02-08,156.02612
2024-02-09,156.63016
2024-02-12,157.68864
2024-02-13,159.02957
2024-02-14,160.34354
2024-02-15,161.78241
2024-02-16,163.30478
2024-02-20,165.2337
2024-02-21,167.03064
2024-02-22,168.70987
2024-02-23,170.55777
2024-02-26,172.37338
2024-02-27,174.31416
2024-02-28,176.25041
2024-02-29,177.93008
2024-03-01,179.49791
2024-03-04,181.2204
2024-03-05,182.96945
2024-03-06,184.60329
2024-03-07,186.25375
2024-03-08,187.87088
2024-03-11,189.1677
2024-03-12,190.04367
2024-03-13,190.70569
2024-03-14,191.04733
2024-03-15,191.15799
2024-03-18,191.03387
2024-03-19,190.8218
2024-03-20,190.58125
2024-03-21,190.45985
2024-03-22,190.62619
2024-03-25,190.97762
2024-03-26,191.38797
2024-03-27,191.7618
2024-03-28,192.13647
2024-04-01,192.43661
2024-04-02,192.7536
2024-04-03,192.98462
2024-04-04,193.18803
2024-04-05,193.23059
2024-04-08,193.30615
2024-04-09,193.4448
2024-04-10,193.67166
2024-04-11,193.91553
2024-04-12,194.28705
2024-04-15,194.56454
2024-04-16,194.68892
2024-04-17,194.82462
2024-04-18,194.64236
2024-04-19,194.05011
2024-04-22,193.0318
2024-04-23,191.73761
2024-04-24,190.427
2024-04-25,189.25621
2024-04-26,188.28452
2024-04-29,187.6939
2024-04-30,187.46356
2024-05-01,187.27542
2024-05-02,186.96024
2024-05-03,186.69086
2024-05-06,186.67072
2024-05-07,186.99184
2024-05-08,187.49428
2024-05-09,188.10594
2024-05-10,188.73361
2024-05-13,189.45912
2024-05-14,190.12129
2024-05-15,190.81775
2024-05-16,191.76971
2024-05-17,192.75516
2024-05-20,193.66058
2024-05-21,194.73547
2024-05-22,195.8873
2024-05-23,197.00903
2024-05-24,198.05879
2024-05-28,199.11461
2024-05-29,200.15018
2024-05-30,201.05751
2024-05-31,201.75516
2024-06-03,202.22784
2024-06-04,202.49417
2024-06-05,202.5391
2024-06-06,202.79965
2024-06-07,203.15742
2024-06-10,203.57425
2024-06-11,204.2321
2024-06-12,205.09863
2024-06-13,206.3358
2024-06-14,207.78735
2024-06-17,209.31691
2024-06-18,211.0315
2024-06-20,212.97394
2024-06-21,214.74706
2024-06-24,216.17708
2024-06-25,217.12117
2024-06-26,217.82735
2024-06-27,218.27284
2024-06-28,218.53316
2024-07-01,218.77101
2024-07-02,219.03656
2024-07-03,219.4298
2024-07-05,219.98296
2024-07-08,220.60759
2024-07-09,221.38
2024-07-10,222.39677
2024-07-11,223.66289
2024-07-12,224.6124
2024-07-15,225.36404
2024-07-16,226.01346
2024-07-17,226.5764
2024-07-18,226.21815
2024-07-19,225.13283
2024-07-22,223.32579
2024-07-23,221.51277
2024-07-24,219.6483
2024-07-25,217.39174
2024-07-26,214.80174
2024-07-29,212.20923
2024-07-30,209.6849
2024-07-31,207.01123
2024-08-01,204.84862
2024-08-02,202.6008
2024-08-05,199.88441
2024-08-06,196.92775
2024-08-07,193.95317
2024-08-08,190.91476
2024-08-09,188.35417
2024-08-12,186.256
2024-08-13,184.6334
2024-08-14,183.67015
2024-08-15,183.2388
2024-08-16,183.54167
2024-08-19,184.21912
2024-08-20,185.22983
2024-08-21,186.2685
2024-08-22,187.37585
2024-08-23,188.19565
2024-08-26,188.85469
2024-08-27,189.15416
2024-08-28,189.16844
2024-08-29,188.88252
2024-08-30,188.39902
2024-09-03,187.94237
2024-09-04,187.05644
2024-09-05,185.86235
2024-09-06,184.42052
2024-09-09,182.67087
2024-09-10,180.86493
2024-09-11,179.10828
2024-09-12,177.72737
2024-09-13,176.57915
2024-09-16,175.82053
2024-09-17,175.33752
2024-09-18,175.10016
2024-09-19,174.95828
2024-09-20,175.24402
2024-09-23,175.66884
2024-09-24,176.2359
2024-09-25,176.97173
2024-09-26,177.81548
2024-09-27,179.11925
2024-09-30,180.54607
2024-10-01,181.90536
2024-10-02,182.99377
2024-10-03,183.97554
2024-10-04,184.79158
2024-10-07,185.54071
2024-10-08,186.15475
2024-10-09,186.67677
2024-10-10,187.25758
2024-10-11,187.82564
2024-10-14,188.4023
2024-10-15,189.26305
2024-10-16,189.52475
2024-10-17,189.1215
2024-10-18,188.20683
2024-10-21,187.06984
2024-10-22,185.76021
2024-10-23,184.33443
2024-10-24,182.87447
2024-10-25,181.48488
2024-10-28,180.29587
2024-10-29,179.25728
2024-10-30,178.52815
2024-10-31,177.88301
2024-11-01,177.19072
2024-11-04,176.54613
2024-11-05,175.90372
2024-11-06,175.44417
2024-11-07,175.16884
2024-11-08,175.25983
2024-11-11,175.53993
2024-11-12,175.82298
2024-11-13,176.0245
2024-11-14,176.0242
2024-11-15,175.98505
2024-11-18,175.33398
2024-11-19,174.32729
2024-11-20,173.0563
2024-11-21,171.68942
2024-11-22,170.5066
2024-11-25,169.47763
2024-11-26,168.58952
2024-11-27,167.789
2024-11-29,167.0141
2024-12-02,166.40007
2024-12-03,166.21786
2024-12-04,166.35022
2024-12-05,166.63205
2024-12-06,166.68993
2024-12-09,166.60916
2024-12-10,166.3877
2024-12-11,165.94557
2024-12-12,165.46362
2024-12-13,164.90355
2024-12-16,164.31993
2024-12-17,163.74544
2024-12-18,163.23267
2024-12-19,162.6158
2024-12-20,161.80693
2024-12-23,160.96262
2024-12-24,160.2596
2024-12-26,159.71922
2024-12-27,159.28915
2024-12-30,158.92824
2024-12-31,158.51764
2025-01-02,158.04802
2025-01-03,157.59404
2025-01-06,157.3821
2025-01-07,157.61075
2025-01-08,158.16202
2025-01-10,158.89328
2025-01-13,159.53595
2025-01-14,160.05504
2025-01-15,160.55685
2025-01-16,161.19026
2025-01-17,162.1758
2025-01-21,163.57265
2025-01-22,165.2419
2025-01-23,167.13062
2025-01-24,168.93617
2025-01-27,170.47081
2025-01-28,171.32886
2025-01-29,171.6037
2025-01-30,171.53575
2025-01-31,171.4551
2025-02-03,171.33377
2025-02-04,171.14268
2025-02-05,170.90446
2025-02-06,170.71663
2025-02-07,170.6479
2025-02-10,170.57326
2025-02-11,170.6222
2025-02-12,170.74243
2025-02-13,170.8293
2025-02-14,171.00272
2025-02-18,170.71347
2025-02-19,170.19327
2025-02-20,169.59798
2025-02-21,169.05669
2025-02-24,168.44041
2025-02-25,167.67697
2025-02-26,166.73123
2025-02-27,165.79271
2025-02-28,164.48596
2025-03-03,163.0115
2025-03-04,161.26697
2025-03-05,159.42104
2025-03-06,157.65988
2025-03-07,155.89883
2025-03-10,154.34888
2025-03-11,152.8123
2025-03-12,151.23587
2025-03-13,149.7579
2025-03-14,148.43575
2025-03-17,147.47293
2025-03-18,146.79803
2025-03-19,146.28462
2025-03-20,145.93326
2025-03-21,145.70319
2025-03-24,145.48524
2025-03-25,145.37718
2025-03-26,145.30438
2025-03-27,145.15393
2025-03-28,144.84525
2025-03-31,144.34013
2025-04-01,143.71361
2025-04-02,143.04366
2025-04-03,142.44331
2025-04-04,141.49211
2025-04-07,140.0213
2025-04-08,138.43477
2025-04-09,136.69444
2025-04-10,135.63817
2025-04-11,134.72655
2025-04-14,134.18474
2025-04-15,133.91258
2025-04-16,133.87149
2025-04-17,133.73904
2025-04-21,133.51021
2025-04-22,133.1483
2025-04-23,132.79681
2025-04-24,132.65147
2025-04-25,132.8933
2025-04-28,133.4565
2025-04-29,134.202
2025-04-30,135.00185
2025-05-01,135.84433
2025-05-02,136.62064
2025-05-05,137.52989
2025-05-06,138.48521
2025-05-07,139.38245
2025-05-08,140.29881
2025-05-09,141.20175
2025-05-12,142.04794
2025-05-13,143.25162
2025-05-14,144.84897
2025-05-15,146.71121
2025-05-16,148.71237
2025-05-19,150.41486
2025-05-20,151.8412
2025-05-21,153.00504
2025-05-22,153.81677
2025-05-23,154.30406
2025-05-27,154.43996
2025-05-28,154.47401
2025-05-29,154.43417
2025-05-30,154.27628
2025-06-02,153.94821
2025-06-03,153.53047
2025-06-04,153.22276
2025-06-05,153.01729
2025-06-06,152.97418
2025-06-09,153.13918
2025-06-10,153.5536
2025-06-11,154.26906
2025-06-12,155.13853
2025-06-13,156.15804
2025-06-16,157.08997
2025-06-17,158.1246
2025-06-18,159.10838
2025-06-20,159.97348
2025-06-23,160.60204
2025-06-24,161.1226
2025-06-25,161.83368
2025-06-26,162.76173
2025-06-27,163.83043
2025-06-30,164.94916
2025-07-01,166.05461
2025-07-02,167.13045
2025-07-03,168.3591
2025-07-07,169.68932
2025-07-08,171.03381
2025-07-09,172.48149
2025-07-10,173.96315
2025-07-11,175.50346
2025-07-14,177.02464
2025-07-15,178.44572
2025-07-16,179.81587
2025-07-17,180.94565
2025-07-18,181.78186
2025-07-21,182.30579
2025-07-22,182.66338
2025-07-23,182.7063
2025-07-24,182.5214
2025-07-25,182.22295
2025-07-28,181.77649
2025-07-29,181.40227
2025-07-30,181.03506
2025-07-31,180.7229
2025-08-01,180.14229
2025-08-04,179.3857
2025-08-05,178.62827
2025-08-06,177.77505
2025-08-07,176.85172
2025-08-08,176.0863
2025-08-11,175.52509
2025-08-12,175.11629
2025-08-13,174.97119
2025-08-14,175.0739
2025-08-15,175.28653
2025-08-18,174.65129
2025-08-19,173.47835
2025-08-20,171.9153
2025-08-21,170.0923
2025-08-22,168.13554
2025-08-25,166.25554
2025-08-26,164.49034
2025-08-27,162.96516
2025-08-28,161.66692
2025-08-29,160.60965
2025-09-02,159.6049
2025-09-03,158.55804
2025-09-04,157.46783
2025-09-05,156.4528
2025-09-08,155.68622
2025-09-09,155.10358
2025-09-10,154.72389
2025-09-11,154.49875
2025-09-12,154.62361
2025-09-15,154.91232
2025-09-16,155.4119
2025-09-17,156.13098
2025-09-18,157.13684
2025-09-19,158.71194
2025-09-22,160.64955
2025-09-23,163.1292
2025-09-24,165.91338
2025-09-25,168.82266
2025-09-26,171.63954
2025-09-29,174.4238
2025-09-30,177.11258
2025-10-01,179.62375
2025-10-02,182.3575
2025-10-03,185.35378
2025-10-06,188.2237
2025-10-07,191.1079
2025-10-08,193.47519
2025-10-09,195.58047
2025-10-10,197.517
2025-10-13,198.91617
2025-10-14,200.20345
2025-10-15,201.32724
2025-10-16,202.616
2025-10-17,203.98717
2025-10-20,205.2782
2025-10-21,206.56918
2025-10-22,207.74104
2025-10-23,208.60143
2025-10-24,209.47165
2025-10-27,210.32968
2025-10-28,211.23682
2025-10-29,212.02458
2025-10-30,212.96877
2025-10-31,213.88509
2025-11-03,214.76593
2025-11-04,215.7416
2025-11-05,216.4994
2025-11-06,217.42757
2025-11-07,218.20052
2025-11-10,218.71866
2025-11-11,219.20116
2025-11-12,219.42944
2025-11-13,219.53783
2025-11-14,219.30945
2025-11-17,218.94344
2025-11-18,218.5861
2025-11-19,218.13339
2025-11-20,217.96588
2025-11-21,217.52971
2025-11-24,217.04306
2025-11-25,216.76845
2025-11-26,217.04286
2025-11-28,217.95146
2025-12-01,219.35396
2025-12-02,221.13306
2025-12-03,223.45221
2025-12-04,226.16887
2025-12-05,229.08385
2025-12-08,231.97348
2025-12-09,234.73213
2025-12-10,237.25464
2025-12-11,239.76845
2025-12-12,242.02144
2025-12-15,243.6556
2025-12-16,244.8544
2025-12-17,245.62473
2025-12-18,245.7276
2025-12-19,245.5265
2025-12-22,245.21869
2025-12-23,244.93962
2025-12-24,244.73854
2025-12-26,244.62318
2025-12-29,244.6115
2025-12-30,244.71169
2025-12-31,244.7883
