Date,Forecast
2023-12-29,336.17258
2024-01-02,336.95126
2024-01-03,336.527
2024-01-04,334.29703
2024-01-05,331.45807
2024-01-08,328.50424
2024-01-09,326.7096
2024-01-10,326.05426
2024-01-11,330.65414
2024-01-12,337.42398
2024-01-16,344.8767
2024-01-17,351.56192
2024-01-18,356.40854
2024-01-19,361.2375
2024-01-22,365.6739
2024-01-23,369.37616
2024-01-24,371.51193
2024-01-25,372.24173
2024-01-26,372.6735
2024-01-29,372.7862
2024-01-30,373.29044
2024-01-31,373.67865
2024-02-01,374.09363
2024-02-02,375.22748
2024-02-05,376.59763
2024-02-06,377.9596
2024-02-07,379.91922
2024-02-08,382.16193
2024-02-09,383.6547
2024-02-12,384.6998
2024-02-13,384.47525
2024-02-14,383.11322
2024-02-15,381.6537
2024-02-16,380.08704
2024-02-20,378.47876
2024-02-21,376.94833
2024-02-22,376.03986
2024-02-23,376.82495
2024-02-26,378.57224
2024-02-27,380.47763
2024-02-28,381.9909
2024-02-29,383.08737
2024-03-01,383.63446
2024-03-04,385.45865
2024-03-05,388.07297
2024-03-06,388.97284
2024-03-07,388.93756
2024-03-08,388.92816
2024-03-11,388.77194
2024-03-12,386.78152
2024-03-13,385.4965
2024-03-14,383.8342
2024-03-15,382.4173
2024-03-18,382.96954
2024-03-19,384.05463
2024-03-20,385.08347
2024-03-21,385.93646
2024-03-22,386.7812
2024-03-25,387.77695
2024-03-26,388.38403
2024-03-27,389.5048
2024-03-28,391.06836
2024-04-01,392.53018
2024-04-02,393.1572
2024-04-03,391.50107
2024-04-04,388.93042
2024-04-05,385.5096
2024-04-08,383.36743
2024-04-09,382.0165
2024-04-10,381.91763
2024-04-11,382.2343
2024-04-12,383.3174
2024-04-15,383.66986
2024-04-16,382.58023
2024-04-17,380.9767
2024-04-18,378.65826
2024-04-19,376.04587
2024-04-22,372.76813
2024-04-23,369.9336
2024-04-24,368.83267
2024-04-25,368.60678
2024-04-26,368.72757
2024-04-29,369.36588
2024-04-30,370.05588
2024-05-01,370.21732
2024-05-02,370.20428
2024-05-03,370.87564
2024-05-06,372.3277
2024-05-07,374.26556
2024-05-08,376.9912
2024-05-09,378.64972
2024-05-10,380.19196
2024-05-13,381.56387
2024-05-14,381.83203
2024-05-15,381.8862
2024-05-16,383.84253
2024-05-17,386.15912
2024-05-20,388.75082
2024-05-21,391.30005
2024-05-22,393.74622
2024-05-23,395.60068
2024-05-24,396.49615
2024-05-28,397.58966
2024-05-29,398.0546
2024-05-30,397.746
2024-05-31,397.7167
2024-06-03,397.6349
