Date,Forecast
2023-12-29,150.57037
2024-01-02,151.29239
2024-01-03,152.24838
2024-01-04,153.22769
2024-01-05,154.12175
2024-01-08,154.98055
2024-01-09,155.70683
2024-01-10,156.2394
2024-01-11,156.60603
2024-01-12,156.69597
2024-01-16,156.67049
2024-01-17,156.64575
2024-01-18,156.76573
2024-01-19,157.021
2024-01-22,157.35123
2024-01-23,157.58795
2024-01-24,157.67163
2024-01-25,157.4539
2024-01-26,157.1743
2024-01-29,156.84395
2024-01-30,156.64355
2024-01-31,156.37022
2024-02-01,156.04578
2024-02-02,155.89073
2024-02-05,155.75708
2024-02-06,155.68689
2024-02-07,155.53923
2024-02-08,155.46773
2024-02-09,155.34082
2024-02-12,155.35625
2024-02-13,155.38966
2024-02-14,155.3986
2024-02-15,155.38672
2024-02-16,155.38232
2024-02-20,155.2417
2024-02-21,155.24628
2024-02-22,155.56105
2024-02-23,155.9381
2024-02-26,156.4016
2024-02-27,156.79689
2024-02-28,157.19115
2024-02-29,157.42944
2024-03-01,157.57231
2024-03-04,157.64935
2024-03-05,157.67482
2024-03-06,157.97838
2024-03-07,158.56746
2024-03-08,158.8654
2024-03-11,158.93486
2024-03-12,158.9614
2024-03-13,158.82346
2024-03-14,158.66847
2024-03-15,158.37204
2024-03-18,157.91644
2024-03-19,157.35742
2024-03-20,156.76715
2024-03-21,156.28908
2024-03-22,155.90599
2024-03-25,155.59007
2024-03-26,155.41733
2024-03-27,155.3424
2024-03-28,155.44308
2024-04-01,155.77048
2024-04-02,156.1099
2024-04-03,156.345
2024-04-04,156.6364
2024-04-05,156.7129
2024-04-08,156.60803
2024-04-09,156.39006
2024-04-10,156.14806
2024-04-11,155.84702
2024-04-12,155.59244
2024-04-15,155.31706
2024-04-16,155.04195
2024-04-17,154.79999
2024-04-18,154.64407
2024-04-19,154.64658
2024-04-22,154.91234
2024-04-23,155.28757
2024-04-24,155.78493
2024-04-25,156.39404
2024-04-26,156.96602
2024-04-29,157.43304
2024-04-30,157.81537
2024-05-01,158.0878
2024-05-02,158.4206
2024-05-03,158.66705
2024-05-06,158.7998
2024-05-07,158.58278
2024-05-08,158.19014
2024-05-09,157.82672
2024-05-10,157.74644
2024-05-13,157.76724
2024-05-14,157.7456
2024-05-15,157.5963
2024-05-16,157.43385
2024-05-17,157.39203
2024-05-20,157.46918
2024-05-21,157.58994
2024-05-22,157.77718
2024-05-23,158.11331
2024-05-24,158.41855
2024-05-28,158.79634
2024-05-29,159.31812
2024-05-30,160.03609
2024-05-31,160.98375
2024-06-03,162.52954
2024-06-04,163.94669
2024-06-05,165.71947
2024-06-06,167.71657
2024-06-07,169.49968
2024-06-10,170.93877
2024-06-11,172.10167
2024-06-12,172.66248
2024-06-13,172.25795
2024-06-14,171.56732
2024-06-17,170.90225
2024-06-18,170.50586
2024-06-20,170.33405
2024-06-21,170.1705
2024-06-24,170.08438
2024-06-25,170.206
2024-06-26,170.38313
2024-06-27,170.41191
2024-06-28,170.50488
2024-07-01,170.4603
2024-07-02,170.71599
2024-07-03,171.19543
2024-07-05,171.54442
2024-07-08,171.88554
2024-07-09,172.16167
2024-07-10,172.35081
2024-07-11,172.64972
2024-07-12,172.74556
2024-07-15,172.82088
2024-07-16,173.14246
2024-07-17,173.69489
2024-07-18,174.36803
2024-07-19,174.85832
2024-07-22,175.16318
2024-07-23,174.75056
2024-07-24,173.92097
2024-07-25,173.01198
2024-07-26,171.95697
2024-07-29,171.02263
2024-07-30,170.44139
2024-07-31,169.93924
2024-08-01,170.42006
2024-08-02,171.9328
2024-08-05,174.00705
2024-08-06,175.87744
2024-08-07,177.7781
2024-08-08,179.50505
2024-08-09,181.27673
2024-08-12,182.8803
2024-08-13,184.26251
2024-08-14,185.37378
2024-08-15,186.32549
2024-08-16,186.81078
2024-08-19,187.23358
2024-08-20,187.67343
2024-08-21,187.88264
2024-08-22,187.85547
2024-08-23,187.83409
2024-08-26,188.08282
2024-08-27,188.66656
2024-08-28,189.80457
2024-08-29,190.73335
2024-08-30,191.2841
2024-09-03,191.47408
2024-09-04,191.67642
2024-09-05,191.61787
2024-09-06,191.23573
2024-09-09,190.21007
2024-09-10,189.30118
2024-09-11,188.70601
2024-09-12,188.61656
2024-09-13,189.29907
2024-09-16,190.34097
2024-09-17,191.8327
2024-09-18,192.94054
2024-09-19,192.9487
2024-09-20,192.78427
2024-09-23,192.48073
2024-09-24,192.5278
2024-09-25,192.59988
2024-09-26,192.92914
2024-09-27,193.32985
2024-09-30,193.96667
2024-10-01,194.7805
2024-10-02,195.53801
2024-10-03,196.42036
2024-10-04,197.22328
2024-10-07,197.90604
2024-10-08,198.43166
2024-10-09,199.16356
2024-10-10,199.99577
2024-10-11,200.67796
2024-10-14,201.39757
2024-10-15,202.3925
2024-10-16,203.51653
2024-10-17,204.90222
2024-10-18,206.49658
2024-10-21,208.1264
2024-10-22,209.47794
2024-10-23,210.00066
2024-10-24,210.29193
2024-10-25,212.03915
2024-10-28,213.23991
2024-10-29,214.26567
2024-10-30,214.7974
2024-10-31,214.57439
2024-11-01,214.05899
2024-11-04,213.461
2024-11-05,213.02654
2024-11-06,213.10754
2024-11-07,214.09761
2024-11-08,215.3016
2024-11-11,216.97922
2024-11-12,219.03496
2024-11-13,221.06422
2024-11-14,223.03528
2024-11-15,224.2503
2024-11-18,224.63474
2024-11-19,224.71992
2024-11-20,224.09193
2024-11-21,223.51353
2024-11-22,223.15254
2024-11-25,223.17313
2024-11-26,223.60094
2024-11-27,224.8373
2024-11-29,226.56815
2024-12-02,228.40181
2024-12-03,229.7398
2024-12-04,230.65125
2024-12-05,230.95613
2024-12-06,231.02289
2024-12-09,230.90901
2024-12-10,228.71916
2024-12-11,226.5474
2024-12-12,224.71716
2024-12-13,223.1806
2024-12-16,221.86792
2024-12-17,220.56297
2024-12-18,218.33322
2024-12-19,216.03285
2024-12-20,213.65869
2024-12-23,211.91518
2024-12-24,210.91066
2024-12-26,210.62227
2024-12-27,210.84982
2024-12-30,211.24356
2024-12-31,211.3771
2025-01-02,211.38733
2025-01-03,211.16458
2025-01-06,210.79942
2025-01-07,209.52498
2025-01-08,208.00047
2025-01-10,206.9512
2025-01-13,205.71486
2025-01-14,204.87927
2025-01-15,204.44432
2025-01-16,204.287
2025-01-17,204.50896
2025-01-21,205.31322
2025-01-22,206.36015
2025-01-23,207.22115
2025-01-24,207.59465
2025-01-27,207.99959
2025-01-28,208.70218
2025-01-29,209.39531
2025-01-30,211.83539
2025-01-31,214.62065
2025-02-03,217.03862
2025-02-04,219.61224
2025-02-05,221.718
2025-02-06,223.96797
2025-02-07,226.53215
2025-02-10,228.70638
2025-02-11,231.65897
2025-02-12,234.85304
2025-02-13,237.21078
2025-02-14,240.15149
2025-02-18,243.60048
2025-02-19,245.68782
2025-02-20,246.87262
2025-02-21,247.65605
2025-02-24,248.03009
2025-02-25,248.52956
2025-02-26,249.29863
2025-02-27,249.11201
2025-02-28,248.64061
2025-03-03,248.94443
2025-03-04,249.94762
2025-03-05,250.02014
2025-03-06,249.47095
2025-03-07,248.72415
2025-03-10,248.28784
2025-03-11,248.23727
2025-03-12,247.02866
2025-03-13,245.40419
2025-03-14,244.27567
2025-03-17,243.09885
2025-03-18,242.69714
2025-03-19,242.78743
2025-03-20,242.93475
2025-03-21,242.82346
2025-03-24,242.46648
2025-03-25,242.47063
2025-03-26,242.58946
2025-03-27,243.27203
2025-03-28,244.88858
2025-03-31,246.2278
2025-04-01,247.52559
2025-04-02,248.82521
2025-04-03,249.3535
2025-04-04,249.9051
2025-04-07,247.61884
2025-04-08,244.27519
2025-04-09,240.78569
2025-04-10,238.87111
2025-04-11,238.11473
2025-04-14,238.4466
2025-04-15,239.84265
2025-04-16,242.12704
2025-04-17,243.54752
2025-04-21,244.744
2025-04-22,244.42947
2025-04-23,244.13394
2025-04-24,243.93613
2025-04-25,244.18385
2025-04-28,240.6035
2025-04-29,236.49509
2025-04-30,233.2262
2025-05-01,231.51598
2025-05-02,230.83803
2025-05-05,231.09601
2025-05-06,231.74088
2025-05-07,233.27168
2025-05-08,234.6484
2025-05-09,235.28072
2025-05-12,234.97456
2025-05-13,233.7784
2025-05-14,231.90984
2025-05-15,229.69992
2025-05-16,228.28925
2025-05-19,227.77275
2025-05-20,228.00356
2025-05-21,228.18954
2025-05-22,228.3172
2025-05-23,228.41005
2025-05-27,228.7458
2025-05-28,229.19977
2025-05-29,229.39865
2025-05-30,229.15927
2025-06-02,229.25166
2025-06-03,229.56587
2025-06-04,230.0552
2025-06-05,230.29881
2025-06-06,230.79858
2025-06-09,231.44867
2025-06-10,231.00543
2025-06-11,230.01755
