Date,Forecast
2023-12-29,243.172
2024-01-02,244.00133
2024-01-03,244.59825
2024-01-04,244.76416
2024-01-05,244.54091
2024-01-08,243.98943
2024-01-09,243.2562
2024-01-10,242.29889
2024-01-11,241.17166
2024-01-12,239.79852
2024-01-16,238.0766
2024-01-17,236.1197
2024-01-18,233.92935
2024-01-19,231.52893
2024-01-22,229.02681
2024-01-23,226.44363
2024-01-24,223.87363
2024-01-25,221.3614
2024-01-26,218.4275
2024-01-29,215.17934
2024-01-30,211.89256
2024-01-31,208.69337
2024-02-01,205.58255
2024-02-02,202.664
2024-02-05,199.96492
2024-02-06,197.37013
2024-02-07,194.99251
2024-02-08,192.90273
2024-02-09,191.14876
2024-02-12,189.80374
2024-02-13,188.7181
2024-02-14,187.76428
2024-02-15,187.00964
2024-02-16,186.67711
2024-02-20,186.7125
2024-02-21,186.92159
2024-02-22,187.26183
2024-02-23,187.7344
2024-02-26,188.1774
2024-02-27,188.71962
2024-02-28,189.34012
2024-02-29,190.06157
2024-03-01,190.84831
2024-03-04,191.68317
2024-03-05,192.2234
2024-03-06,192.30748
2024-03-07,191.8826
2024-03-08,191.07257
2024-03-11,189.90564
2024-03-12,188.54015
2024-03-13,187.06781
2024-03-14,185.39877
2024-03-15,183.46048
2024-03-18,181.35815
2024-03-19,179.39505
2024-03-20,177.58443
2024-03-21,176.0576
2024-03-22,174.76227
2024-03-25,173.64594
2024-03-26,172.72913
2024-03-27,172.09839
2024-03-28,171.77019
2024-04-01,171.6164
2024-04-02,171.57904
2024-04-03,171.43604
2024-04-04,171.20752
2024-04-05,170.95508
2024-04-08,170.56047
2024-04-09,170.21751
2024-04-10,170.02641
2024-04-11,169.8807
2024-04-12,169.8323
2024-04-15,169.79126
2024-04-16,169.5433
2024-04-17,169.00397
2024-04-18,168.17471
2024-04-19,167.00003
2024-04-22,165.49974
2024-04-23,163.66176
2024-04-24,161.64561
2024-04-25,159.92053
2024-04-26,158.7212
2024-04-29,158.0103
2024-04-30,158.28105
2024-05-01,159.19254
2024-05-02,160.52118
2024-05-03,162.1099
2024-05-06,163.85075
2024-05-07,165.7141
2024-05-08,167.46669
2024-05-09,168.98346
2024-05-10,170.1786
2024-05-13,170.98402
2024-05-14,171.50806
2024-05-15,171.92033
2024-05-16,172.18855
2024-05-17,172.36469
2024-05-20,172.52927
2024-05-21,172.64458
2024-05-22,172.96826
2024-05-23,173.35194
2024-05-24,173.6395
2024-05-28,173.93289
2024-05-29,174.17157
2024-05-30,174.34337
2024-05-31,174.5075
2024-06-03,174.6531
2024-06-04,174.74507
2024-06-05,174.7551
2024-06-06,174.69708
2024-06-07,174.64679
2024-06-10,174.60503
2024-06-11,174.4991
2024-06-12,174.26923
2024-06-13,174.07164
2024-06-14,174.03023
2024-06-17,174.04918
2024-06-18,174.31667
2024-06-20,174.74768
2024-06-21,175.23239
2024-06-24,175.76236
2024-06-25,176.29651
2024-06-26,176.91347
2024-06-27,177.78188
2024-06-28,178.88475
2024-07-01,180.17468
2024-07-02,181.83913
2024-07-03,184.24861
2024-07-05,187.59389
2024-07-08,191.78801
2024-07-09,196.61473
2024-07-10,202.013
2024-07-11,207.73878
2024-07-12,213.0705
2024-07-15,218.00166
2024-07-16,222.52448
2024-07-17,226.67474
2024-07-18,230.25433
2024-07-19,233.2881
2024-07-22,235.58781
2024-07-23,237.48785
2024-07-24,238.93951
2024-07-25,239.36134
2024-07-26,238.97842
2024-07-29,237.93248
2024-07-30,236.6632
2024-07-31,235.109
2024-08-01,233.60014
2024-08-02,231.88757
2024-08-05,229.85274
2024-08-06,227.39331
2024-08-07,224.65967
2024-08-08,221.58319
2024-08-09,218.4513
2024-08-12,215.40501
2024-08-13,212.48314
2024-08-14,209.97261
2024-08-15,207.75894
2024-08-16,206.11708
2024-08-19,205.05032
2024-08-20,204.63248
2024-08-21,204.72775
2024-08-22,205.26878
2024-08-23,205.86652
2024-08-26,206.64168
2024-08-27,207.36938
2024-08-28,207.92357
2024-08-29,208.21603
2024-08-30,208.2743
2024-09-03,208.3017
2024-09-04,208.25346
2024-09-05,208.34506
2024-09-06,208.80882
2024-09-09,209.19296
2024-09-10,209.58961
2024-09-11,210.18372
2024-09-12,210.98567
2024-09-13,211.98833
2024-09-16,213.14479
2024-09-17,214.31805
2024-09-18,215.48007
2024-09-19,216.57579
2024-09-20,217.93878
2024-09-23,219.39937
2024-09-24,221.16104
2024-09-25,223.23717
2024-09-26,225.59302
2024-09-27,228.06033
2024-09-30,230.67241
2024-10-01,233.35481
2024-10-02,235.94153
2024-10-03,238.17064
2024-10-04,239.83438
2024-10-07,241.15846
2024-10-08,241.98198
2024-10-09,242.45592
2024-10-10,242.57538
2024-10-11,242.36874
2024-10-14,241.46223
2024-10-15,240.00502
2024-10-16,238.13847
2024-10-17,236.04314
2024-10-18,233.83858
2024-10-21,231.62793
2024-10-22,229.4532
2024-10-23,227.35764
2024-10-24,225.29402
2024-10-25,224.30739
2024-10-28,224.52711
2024-10-29,225.66666
2024-10-30,227.45732
2024-10-31,229.64009
2024-11-01,231.85878
2024-11-04,233.95915
2024-11-05,235.7234
2024-11-06,237.3091
2024-11-07,239.50667
2024-11-08,242.42383
2024-11-11,246.4535
2024-11-12,251.97975
2024-11-13,258.19025
2024-11-14,264.7862
2024-11-15,271.03223
2024-11-18,276.92792
2024-11-19,282.71475
2024-11-20,288.42834
2024-11-21,293.87515
2024-11-22,298.9168
2024-11-25,303.7677
2024-11-26,308.05518
2024-11-27,311.76035
2024-11-29,314.77518
2024-12-02,317.4128
2024-12-03,319.96255
2024-12-04,322.30972
2024-12-05,324.6027
2024-12-06,327.06372
2024-12-09,330.05292
2024-12-10,333.45505
2024-12-11,337.365
2024-12-12,342.09808
2024-12-13,347.25418
2024-12-16,352.98752
2024-12-17,359.585
2024-12-18,367.06665
2024-12-19,374.23474
2024-12-20,380.80334
2024-12-23,386.3074
2024-12-24,390.93713
2024-12-26,395.37827
2024-12-27,399.4319
2024-12-30,402.6519
2024-12-31,404.82455
2025-01-02,405.79663
2025-01-03,405.25153
2025-01-06,404.13116
2025-01-07,402.6378
2025-01-08,400.6155
2025-01-10,398.27747
2025-01-13,395.7703
2025-01-14,393.40002
2025-01-15,391.0946
2025-01-16,389.58954
2025-01-17,388.51852
2025-01-21,388.1091
2025-01-22,388.19604
2025-01-23,388.48135
2025-01-24,388.82654
2025-01-27,389.04895
2025-01-28,388.93277
2025-01-29,388.53195
2025-01-30,387.70645
2025-01-31,386.78354
2025-02-03,385.91165
2025-02-04,384.69513
2025-02-05,383.40738
2025-02-06,381.8017
2025-02-07,379.89337
2025-02-10,377.51434
2025-02-11,374.5729
2025-02-12,370.76645
2025-02-13,366.49808
2025-02-14,362.38333
2025-02-18,358.56018
2025-02-19,355.09586
2025-02-20,352.1799
2025-02-21,349.67322
2025-02-24,347.20554
2025-02-25,344.6357
2025-02-26,341.40872
2025-02-27,337.4032
2025-02-28,332.61884
2025-03-03,327.53055
2025-03-04,322.17575
2025-03-05,316.50296
2025-03-06,310.8746
2025-03-07,305.11618
2025-03-10,299.38202
2025-03-11,292.94342
2025-03-12,286.20325
2025-03-13,279.73962
2025-03-14,273.55917
2025-03-17,267.99982
2025-03-18,262.8676
2025-03-19,257.93222
2025-03-20,253.4613
2025-03-21,249.48172
2025-03-24,246.26889
2025-03-25,244.42162
2025-03-26,244.01796
2025-03-27,244.49886
2025-03-28,245.6565
2025-03-31,247.05682
2025-04-01,248.43695
2025-04-02,249.88904
2025-04-03,251.64421
2025-04-04,253.287
2025-04-07,254.1699
2025-04-08,254.19154
2025-04-09,253.20284
2025-04-10,252.46303
2025-04-11,251.6401
2025-04-14,250.8261
2025-04-15,250.06163
2025-04-16,249.4066
2025-04-17,248.59724
2025-04-21,247.65512
2025-04-22,246.31317
2025-04-23,244.8696
2025-04-24,243.66469
2025-04-25,242.92427
2025-04-28,243.18279
2025-04-29,244.35149
2025-04-30,246.39714
2025-05-01,248.8902
2025-05-02,251.59456
2025-05-05,254.48349
2025-05-06,257.2641
2025-05-07,259.7382
2025-05-08,261.87723
2025-05-09,263.8544
2025-05-12,265.95438
2025-05-13,268.5802
2025-05-14,271.97534
2025-05-15,276.267
2025-05-16,281.11368
2025-05-19,286.4239
2025-05-20,291.77197
2025-05-21,296.99512
2025-05-22,301.736
2025-05-23,306.0524
2025-05-27,309.85815
2025-05-28,313.6546
2025-05-29,317.26367
2025-05-30,320.69034
2025-06-02,323.63687
2025-06-03,326.0237
2025-06-04,327.91342
2025-06-05,329.09277
2025-06-06,328.64813
2025-06-09,327.05173
2025-06-10,324.8328
2025-06-11,322.60287
2025-06-12,320.53476
2025-06-13,318.57742
2025-06-16,316.92627
2025-06-17,315.66977
2025-06-18,314.50943
2025-06-20,313.55927
2025-06-23,312.79263
2025-06-24,312.7553
2025-06-25,313.17465
2025-06-26,313.68423
2025-06-27,314.1743
2025-06-30,314.54575
2025-07-01,314.65244
2025-07-02,314.15134
2025-07-03,313.4487
2025-07-07,312.60248
2025-07-08,311.22797
2025-07-09,309.5265
2025-07-10,307.55853
2025-07-11,305.73694
2025-07-14,304.2037
2025-07-15,303.06076
2025-07-16,302.1613
2025-07-17,301.71313
2025-07-18,301.6008
2025-07-21,301.97903
2025-07-22,302.7246
2025-07-23,303.81845
2025-07-24,305.16376
2025-07-25,306.075
2025-07-28,306.77188
2025-07-29,307.44867
2025-07-30,308.0118
2025-07-31,308.4312
2025-08-01,308.49207
2025-08-04,308.1212
2025-08-05,307.533
2025-08-06,306.783
2025-08-07,306.1811
2025-08-08,305.80487
2025-08-11,305.8127
2025-08-12,306.36145
2025-08-13,307.40012
2025-08-14,308.78546
2025-08-15,310.31876
2025-08-18,311.79257
2025-08-19,313.2399
2025-08-20,314.48328
2025-08-21,315.39413
2025-08-22,315.9096
2025-08-25,316.50302
2025-08-26,317.3209
2025-08-27,318.4546
2025-08-28,319.80362
2025-08-29,321.2206
2025-09-02,322.38135
2025-09-03,323.16922
2025-09-04,323.70114
2025-09-05,324.10135
2025-09-08,324.66446
2025-09-09,325.28888
2025-09-10,325.97852
2025-09-11,326.72525
2025-09-12,327.9483
2025-09-15,330.13663
2025-09-16,333.41415
2025-09-17,337.7805
2025-09-18,343.01492
2025-09-19,348.59683
2025-09-22,354.44193
2025-09-23,360.4587
2025-09-24,366.2425
2025-09-25,372.00034
2025-09-26,377.16208
2025-09-29,382.0359
2025-09-30,386.60168
2025-10-01,390.84415
2025-10-02,395.03485
2025-10-03,398.6124
2025-10-06,401.4715
2025-10-07,404.14267
2025-10-08,406.19644
2025-10-09,407.83096
2025-10-10,409.03217
2025-10-13,409.41312
2025-10-14,409.5823
2025-10-15,409.46158
2025-10-16,409.26596
2025-10-17,408.91425
2025-10-20,408.6825
2025-10-21,408.74298
2025-10-22,408.9647
2025-10-23,409.24576
2025-10-24,409.76538
2025-10-27,410.1464
2025-10-28,410.77582
2025-10-29,411.75607
2025-10-30,413.02856
2025-10-31,414.0693
2025-11-03,415.20615
2025-11-04,416.61588
2025-11-05,417.72333
2025-11-06,418.90964
